,artist,played,song
0,Danger Mouse ft. Run The Jewels,13:00,Chase Me
1,Elderbrook,13:04,Woman
2,Toro Y Moi,13:07,Girl Like You
3,Dillon,13:12,Contact Us
4,Pressyes,13:15,On The Run
5,Vance Joy,13:19,Lay It On Me
6,Dan Auerbach,13:34,Shine On Me
7,St. Vincent,13:39,Los Ageless
8,Clara Luzia,13:42,Mood Swing
9,Daft Punk,13:47,Around The World
10,Molly,13:51,Glimpse
11,Geowulf,13:56,Drink Too Much
12,Loyle Carner,14:00,The Isle Of Arran
13,Mando Diao @ FM4 Acoustic Session,14:05,Shake
14,Teme Tan,14:08,Ca Va Pas La Tete
15,The Crispies,14:11,Easy
16,Fünf Sterne Deluxe,14:16,Moin Bumm Tschack
17,Cid Rim ft. Samantha Urbani,14:20,Repeat
18,Beatsteaks ft. Deichkind,14:26,L Auf Der Stirn
19,Kettcar,14:30,Sommer 89 (Er schnitt Löcher in den Zaun)
20,Mine ft. Fatoni,14:35,Romcom
21,Noga Erez,14:40,Off The Radar
22,Everything Everything,14:43,Can't Do
23,Destroyer,14:49,Tinseltown Swimming in Blood
24,Jordan Klassen,14:54,Dominika
25,Sufjan Stevens,14:58,Tonya Harding
26,Der Nino Aus Wien,15:00,Coco Bello
27,Cari Cari,15:03,Nothing Is Older Than Yesterday
28,Amy Winehouse,15:09,Rehab
29,Käpt'n Peng & Die Tentakel Von Delphi,15:12,WobWobWob
30,Post Malone ft. 21 Savage,15:17,Rockstar
31,Franz Ferdinand,15:20,Always Ascending
32,Gorillaz ft D.R.A.M.,15:24,Andromeda
33,Kelela,15:31,LMK
34,Superorganism,15:34,Something For Your M.I.N.D.
35,Trettmann ft. Bonez MC & RAF Camora,15:37,Gott Sei Dank
36,Salute ft. Gabrielle Aplin,15:41,That Girl
37,Tyler The Creator feat. Frank Ocean,15:45,Where This Flower Blooms
38,Anna of the North,15:48,Fire
39,Fever Ray,15:53,To The Moon And Back
40,Rin,15:56,Vagabundo
